21.9703769083 	 21.2060881073 	 20.6437540233 	 20.3629581134 	 20.2312429074 	 20.3336747276
22.1301010771 	 21.2458467868 	 20.5671027066 	 20.2380987442 	 19.9939044504 	 20.1546701779
23.995973265 	 22.5793706035 	 21.7312201597 	 21.3213983255 	 21.0640268095 	 21.3011703341
21.5323014892 	 20.9453452916 	 20.4992688907 	 20.3422458787 	 20.2334096492 	 20.3163382683
21.1983957983 	 20.5290820868 	 20.0464846263 	 19.8101237329 	 19.7329304687 	 19.7966902312
21.9328926171 	 21.1540970617 	 20.5784061361 	 20.2714776295 	 20.1449905518 	 20.2378664162
22.3183586419 	 21.41380942 	 20.7778575836 	 20.4366713202 	 20.2706574684 	 20.4044142275
21.296953432 	 20.7365351338 	 20.3527455662 	 20.1662543036 	 20.14427455 	 20.171018251
21.6514765115 	 20.8823378131 	 20.2971516836 	 20.0366991404 	 19.8515854454 	 19.9857965367
21.6961253786 	 21.2083355828 	 20.7762309724 	 20.6836314059 	 20.588409439 	 20.6745695492
21.5152119911 	 21.0760457017 	 20.769323521 	 20.6662911997 	 20.6917857471 	 20.6765114244
21.4162248431 	 20.7220361402 	 20.2103128676 	 19.9738246855 	 19.865551849 	 19.9530746498
23.0840917065 	 21.990267328 	 21.1861917924 	 20.8437402406 	 20.6659265066 	 20.836551034
21.5790593985 	 21.0544700694 	 20.6745172994 	 20.5043030877 	 20.4966607113 	 20.5142502263
21.8073034084 	 21.1515103843 	 20.6882175206 	 20.4559995508 	 20.3838152647 	 20.4458815414
23.3793729347 	 22.1858857023 	 21.3576465915 	 20.9343700241 	 20.737903572 	 20.9343502928
21.8924808126 	 21.1285905183 	 20.5661373594 	 20.2378843729 	 20.1277970645 	 20.2161243662
22.5061061313 	 21.6463427271 	 20.9165919698 	 20.5813867408 	 20.3620322233 	 20.5440352872
22.1668196517 	 21.3000905385 	 20.6744962227 	 20.3570789933 	 20.1751088471 	 20.3136892273
21.8402913631 	 21.1827455235 	 20.6032212134 	 20.38451701 	 20.2243776445 	 20.3591541131
20.9484181556 	 20.5150914966 	 20.1981179229 	 20.1356441093 	 20.1021869578 	 20.1277680698
