# ID    redshift       metallicity      mass 
1 	0.219245 	9.017 	11.09437 
2 	0.230787 	9.109 	11.141475 
3 	0.212742 	8.832 	10.523434 
4 	0.228318 	8.913 	10.590487 
5 	0.212725 	9.076 	10.470995 
6 	0.215286 	9.056 	10.664401 
7 	0.205068 	9.055 	10.975345 
8 	0.200153 	8.928 	10.226706 
9 	0.228444 	9.050 	10.91415 
10 	0.235663 	8.756 	10.099044 
11 	0.214765 	8.967 	11.133651 
12 	0.219764 	9.045 	11.272061 
13 	0.212857 	8.000 	9.144408 
14 	0.213046 	9.057 	10.731631 
15 	0.204859 	8.824 	9.87452 
16 	0.203797 	8.942 	10.448479 
17 	0.204885 	8.812 	9.874544 
18 	0.203723 	8.947 	10.45219 
19 	0.205445 	9.126 	10.974612 
20 	0.229196 	8.690 	9.939239 
21 	0.226638 	9.052 	10.48198 
22 	0.231083 	9.133 	11.1048 
23 	0.240898 	8.201 	9.002405 
24 	0.22644 	8.737 	9.915147 
25 	0.226422 	8.700 	9.915147 
26 	0.235294 	8.962 	11.454732 
27 	0.201301 	9.039 	10.746584 
28 	0.243891 	9.127 	11.429066 
29 	0.203219 	9.117 	10.641125 
30 	0.203755 	9.116 	10.67929 
31 	0.204975 	9.154 	11.052539 
32 	0.223637 	8.771 	9.653534 
33 	0.205773 	9.174 	11.071234 
34 	0.210981 	9.100 	11.109536 
35 	0.235074 	8.834 	10.718399 
36 	0.235072 	8.772 	10.718399 
37 	0.234844 	9.000 	10.873131 
38 	0.245157 	8.825 	10.489328 
39 	0.205253 	8.902 	10.20257 
40 	0.224722 	8.809 	10.083385 
41 	0.204955 	8.987 	10.201694 
42 	0.202274 	9.002 	10.895855 
43 	0.202277 	9.088 	10.895855 
44 	0.236637 	9.176 	11.211237 
45 	0.236094 	8.992 	9.977906 
46 	0.211554 	9.113 	10.736771 
47 	0.202729 	9.091 	10.944363 
48 	0.211626 	9.092 	10.736773 
49 	0.202732 	9.094 	10.944371 
50 	0.204778 	9.035 	10.779028 
51 	0.247417 	9.122 	10.14727 
52 	0.212142 	8.614 	9.744653 
53 	0.21222 	8.996 	10.28732 
54 	0.212348 	9.091 	10.976429 
55 	0.212329 	9.089 	10.976372 
56 	0.213999 	8.913 	10.647288 
57 	0.210665 	8.978 	10.467666 
58 	0.221946 	8.910 	11.09777 
59 	0.218915 	8.873 	10.268285 
60 	0.21609 	9.161 	11.222679 
61 	0.217094 	9.165 	11.130022 
